sector,marketCap,trailingPE,forwardPE,trailingEps,currentPrice,regularMarketPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,targetMeanPrice,numberOfAnalystOpinions,recommendationMean,shortName,industry,freeCashflow,returnOnEquity,revenueGrowth,ticker,insider_buy_value,insider_sell_value,insider_net_value,insider_num_buyers,insider_num_sellers,long_term_downtrend,institutional_flow_pct,score_trend,price,sector_median_pe,valuation_discount,analyst_upside,drawdown,position_in_range,momentum_score,insider_intensity,congress_net,institutional_flow,fcf_yield,roe,growth,valuation_discount_percentile,analyst_upside_percentile,drawdown_percentile,momentum_score_percentile,insider_intensity_percentile,congress_net_percentile,institutional_flow_percentile,fcf_yield_percentile,roe_percentile,growth_percentile,score_trend_percentile,conviction_score,diamond_in_rough,smart_money_aligned
Technology,216812879872.0,20.075516,5.5936875,73.76,1480.77,1480.77,2354.39,46.75,2126.1738,23.0,1.54167,Sandisk Corporation,Computer Hardware,7720875008.0,0.9164,3.716,SNDK,0.0,697296.0,-697296.0,0,1,False,1.3277,0.0,1480.77,38.189617,0.4743200488237418,0.43585688526915056,0.37106001979281256,0.621422752249051,0.621422752249051,-3.2161188966802305e-06,0.0,1.3277,0.035610776502568386,0.9164,3.716,91.6,96.8,95.6,45.0,54.3,50.1,98.0,59.5,95.6,99.8,50.1,81.6,True,True
Healthcare,11343640576.0,15.0550375,10.449401,11.81,177.8,177.8,247.49,101.0,218.42857,7.0,2.375,DaVita Inc.,Medical Care Facilities,1042460032.0,0.88475,0.052,DVA,0.0,0.0,0.0,0,0,False,0.4027,0.0,177.8,31.016035,0.5146047036637662,0.22850714285714283,0.28158713483373066,0.5242678681138645,0.5242678681138645,0.0,0.0,0.4027,0.09189818956407668,0.88475,0.052,93.9,78.6,87.5,32.7,78.0,50.1,87.5,94.1,94.3,28.7,50.1,76.9,True,True
Technology,162513829888.0,16.750278,14.197061,26.91,450.75,450.75,799.87,77.9,664.9167,24.0,1.53846,Western Digital Corporation,Computer Hardware,2268750080.0,1.30853,0.438,WDC,0.0,9316668.0,-9316668.0,0,2,False,0.2209,0.0,450.75,38.189617,0.56139183066434,0.4751341098169717,0.4364709265255604,0.516434200867072,0.516434200867072,-5.7328462484828446e-05,0.0,0.2209,0.013960350830225092,1.30853,0.438,96.3,98.0,97.8,31.4,23.3,50.1,74.9,26.8,97.8,91.4,50.1,74.7,True,True
Consumer Cyclical,12084777984.0,12.623043,10.61096,7.03,88.74,88.74,125.45,78.91,122.80952,21.0,2.34615,Deckers Outdoor Corporation,Footwear & Accessories,871420352.0,0.42558,0.057,DECK,0.0,0.0,0.0,0,0,False,0.1105,0.0,88.74,22.535182,0.43985173938244654,0.3839251746675683,0.292626544440016,0.21121615814353237,0.21121615814353237,0.0,0.0,0.1105,0.07210892522425673,0.42558,0.057,89.2,94.1,88.9,8.1,78.0,50.1,57.0,88.9,84.5,30.8,50.1,73.8,True,True
Technology,56673898496.0,19.17662,12.420483,11.72,224.75,224.75,339.95,183.0,311.10345,29.0,,NXP Semiconductors N.V.,Semiconductors,3555000064.0,0.27921,0.195,NXPI,0.0,315570.0,-315570.0,0,1,False,0.0033,0.0,224.75,38.189617,0.4978577554207993,0.3842200222469411,0.33887336372996024,0.266008282892641,0.266008282892641,-5.568171739981372e-06,0.0,0.0033,0.06272728995784381,0.27921,0.195,93.6,94.3,92.6,12.5,52.3,50.1,41.5,84.0,72.5,74.3,50.1,73.2,True,True
Industrials,246819323904.0,26.584337,36.865555,34.86,926.73,926.73,1195.94,530.16,1236.4318,33.0,1.54054,GE Vernova Inc.,Specialty Industrial Machinery,15722125312.0,0.82577,0.219,GEV,0.0,4568797.52,-4568797.52,0,1,False,0.5476,0.0,926.73,29.969282,0.11294715035215053,0.3341877353706042,0.2251032660501363,0.5956472107903512,0.5956472107903512,-1.8510696195639147e-05,0.0,0.5476,0.06369892382540962,0.82577,0.219,63.4,91.9,79.9,41.5,40.0,50.1,93.4,84.5,93.9,78.4,50.1,72.6,False,False
Consumer Cyclical,25944844288.0,17.89821,14.668184,7.27,130.12,130.12,164.8,93.0,167.4,20.0,1.77273,"Tapestry, Inc.",Luxury Goods,1399924992.0,1.97135,0.089,TPR,0.0,0.0,0.0,0,0,False,0.2298,0.0,130.12,22.535182,0.2057658997384623,0.28650476483246234,0.21043689320388353,0.516991643454039,0.516991643454039,0.0,0.0,0.2298,0.05395773343097275,1.97135,0.089,74.0,88.0,76.9,31.7,78.0,50.1,75.7,77.6,98.8,45.7,50.1,72.5,False,False
Energy,21914148864.0,8.160345,10.687158,11.6,94.66,94.66,126.621,84.985,124.96,25.0,1.57692,Expand Energy Corporation,Oil & Gas E&P,1466249984.0,0.14893,-0.106,EXE,88900.0,0.0,88900.0,1,0,False,0.072,0.0,94.66,17.3346205,0.5292458234087097,0.32009296429326006,0.2524146863474463,0.23237102507445476,0.23237102507445476,4.056739805488984e-06,0.0,0.072,0.0669088264892057,0.14893,-0.106,94.6,90.2,84.3,10.6,97.3,50.1,52.1,86.0,47.4,1.2,50.1,71.0,True,True
Consumer Defensive,23060293632.0,12.858095,10.894984,10.5,135.01,135.01,168.6,126.45,170.8261,23.0,,"Constellation Brands, Inc.",Beverages - Brewers,2210487552.0,0.2369,-0.033,STZ,0.0,0.0,0.0,0,0,False,0.328,0.0,135.01,23.574346499999997,0.4545725795622796,0.26528479371898384,0.19922894424673787,0.2030842230130484,0.2030842230130484,0.0,0.0,0.328,0.09585686926954738,0.2369,-0.033,89.7,84.8,74.9,7.4,78.0,50.1,85.0,94.8,67.6,4.4,50.1,70.9,False,False
Energy,51600998400.0,10.197826,8.591638,4.6,46.91,46.91,52.71,31.47,59.46154,26.0,1.33333,Devon Energy Corporation,Oil & Gas E&P,782625024.0,0.11522,0.642,DVN,0.0,0.0,0.0,0,0,False,0.5357,0.0,46.91,17.3346205,0.411707570984897,0.26756640375186536,0.11003604629102645,0.726930320150659,0.726930320150659,0.0,0.0,0.5357,0.01516685816683733,0.11522,0.642,87.0,85.5,51.1,60.4,78.0,50.1,92.9,27.5,35.1,97.1,50.1,70.1,False,False
